We have no suitable roles,0.37,0.38,0.39,0.32
No one has approached us,0.2,0.25,0.21,0.26
Do not have the time / resource to manage it,0.16,0.11,0.13,0.11
Recruitment freeze / not recruiting at present,0.08,0.13,0.08,0.11
Never thought about it,0.07,0.05,0.08,0.07
Red tape / bureaucracy (including CRB requirements),0.06,0.04,0.05,0.07
Does not offer us any business benefits / Benefits not worth cost,0.05,0.04,0.05,0.05
No need,0.04,0.06,0.04,0.04
We're too small,0.03,0.04,0.02,0.03
Company policy / Head Office decision,0.03,0.03,0.04,0.02
Bad experiences in the past,0.02,0.01,0.02,0.02
We’re a new business,0.01,0.01,0.01,0.02
We do confidential / sensitive work,0.01,0.01,0.01,0.01
Would like to but don't know how to organise,0.01,0,0.01,0.01
No particular reason,0.01,0,0,0
Other,0.04,0.02,0.02,0.03
Don't know,0.05,0.03,0.05,0.04
